FromStratumID,FromSecondaryStratumID,FromStateClassID,FromAgeMin,FromStockTypeID,ToAgeMin,ToStockTypeID,StateAttributeTypeID,FlowTypeID,Multiplier
NA,NA,Forest: Pinyon/Juniper Group,18,Atmosphere,18,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0337
NA,NA,Forest: Pinyon/Juniper Group,18,Atmosphere,18,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4314
NA,NA,Forest: Pinyon/Juniper Group,19,Atmosphere,19,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.071
NA,NA,Forest: Pinyon/Juniper Group,19,Atmosphere,19,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.2977
NA,NA,Forest: Pinyon/Juniper Group,19,Atmosphere,19,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.1684
NA,NA,Forest: Pinyon/Juniper Group,19,Atmosphere,19,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0355
NA,NA,Forest: Pinyon/Juniper Group,19,Atmosphere,19,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4274
NA,NA,Forest: Pinyon/Juniper Group,20,Atmosphere,20,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0704
NA,NA,Forest: Pinyon/Juniper Group,20,Atmosphere,20,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.3023
NA,NA,Forest: Pinyon/Juniper Group,20,Atmosphere,20,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.1664
NA,NA,Forest: Pinyon/Juniper Group,20,Atmosphere,20,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0374
NA,NA,Forest: Pinyon/Juniper Group,20,Atmosphere,20,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4235
NA,NA,Forest: Pinyon/Juniper Group,21,Atmosphere,21,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0698
NA,NA,Forest: Pinyon/Juniper Group,21,Atmosphere,21,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.3067
NA,NA,Forest: Pinyon/Juniper Group,21,Atmosphere,21,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.1646
NA,NA,Forest: Pinyon/Juniper Group,21,Atmosphere,21,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0394
NA,NA,Forest: Pinyon/Juniper Group,21,Atmosphere,21,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4195
NA,NA,Forest: Pinyon/Juniper Group,22,Atmosphere,22,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0692
NA,NA,Forest: Pinyon/Juniper Group,22,Atmosphere,22,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.3109
NA,NA,Forest: Pinyon/Juniper Group,22,Atmosphere,22,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.163
NA,NA,Forest: Pinyon/Juniper Group,22,Atmosphere,22,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0413
NA,NA,Forest: Pinyon/Juniper Group,22,Atmosphere,22,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4157
NA,NA,Forest: Pinyon/Juniper Group,23,Atmosphere,23,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0686
NA,NA,Forest: Pinyon/Juniper Group,23,Atmosphere,23,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.3148
NA,NA,Forest: Pinyon/Juniper Group,23,Atmosphere,23,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.1616
NA,NA,Forest: Pinyon/Juniper Group,23,Atmosphere,23,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0432
NA,NA,Forest: Pinyon/Juniper Group,23,Atmosphere,23,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4118
NA,NA,Forest: Pinyon/Juniper Group,24,Atmosphere,24,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.068
NA,NA,Forest: Pinyon/Juniper Group,24,Atmosphere,24,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.3185
NA,NA,Forest: Pinyon/Juniper Group,24,Atmosphere,24,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.1603
NA,NA,Forest: Pinyon/Juniper Group,24,Atmosphere,24,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0451
NA,NA,Forest: Pinyon/Juniper Group,24,Atmosphere,24,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4081
NA,NA,Forest: Pinyon/Juniper Group,25,Atmosphere,25,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0675
NA,NA,Forest: Pinyon/Juniper Group,25,Atmosphere,25,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.322
NA,NA,Forest: Pinyon/Juniper Group,25,Atmosphere,25,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.1593
NA,NA,Forest: Pinyon/Juniper Group,25,Atmosphere,25,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.047
NA,NA,Forest: Pinyon/Juniper Group,25,Atmosphere,25,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4042
NA,NA,Forest: Pinyon/Juniper Group,26,Atmosphere,26,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.067
NA,NA,Forest: Pinyon/Juniper Group,26,Atmosphere,26,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.3255
NA,NA,Forest: Pinyon/Juniper Group,26,Atmosphere,26,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.1582
NA,NA,Forest: Pinyon/Juniper Group,26,Atmosphere,26,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0488
NA,NA,Forest: Pinyon/Juniper Group,26,Atmosphere,26,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4005
NA,NA,Forest: Pinyon/Juniper Group,27,Atmosphere,27,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0664
NA,NA,Forest: Pinyon/Juniper Group,27,Atmosphere,27,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.3287
