Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2017,Merced,Ag Contraction: Cropland,736.7983106666667,Iteration and Timestep,423.9895656836601,169.96812,1565.527791
2021,Merced,Ag Contraction: Cropland,736.7983106666667,Iteration and Timestep,423.9895656836601,169.96812,1565.527791
2031,Merced,Ag Contraction: Cropland,736.7983106666667,Iteration and Timestep,423.9895656836601,169.96812,1565.527791
2041,Merced,Ag Contraction: Cropland,736.7983106666667,Iteration and Timestep,423.9895656836601,169.96812,1565.527791
2051,Merced,Ag Contraction: Cropland,736.7983106666667,Iteration and Timestep,423.9895656836601,169.96812,1565.527791
2061,Merced,Ag Contraction: Cropland,736.7983106666667,Iteration and Timestep,423.9895656836601,169.96812,1565.527791
2071,Merced,Ag Contraction: Cropland,736.7983106666667,Iteration and Timestep,423.9895656836601,169.96812,1565.527791
2081,Merced,Ag Contraction: Cropland,736.7983106666667,Iteration and Timestep,423.9895656836601,169.96812,1565.527791
2091,Merced,Ag Contraction: Cropland,736.7983106666667,Iteration and Timestep,423.9895656836601,169.96812,1565.527791
2017,Modoc,Ag Contraction: Cropland,419.10293874999996,Iteration and Timestep,536.654219073434,1.214058,1838.488498
2021,Modoc,Ag Contraction: Cropland,419.10293874999996,Iteration and Timestep,536.654219073434,1.214058,1838.488498
2031,Modoc,Ag Contraction: Cropland,419.10293874999996,Iteration and Timestep,536.654219073434,1.214058,1838.488498
2041,Modoc,Ag Contraction: Cropland,419.10293874999996,Iteration and Timestep,536.654219073434,1.214058,1838.488498
2051,Modoc,Ag Contraction: Cropland,419.10293874999996,Iteration and Timestep,536.654219073434,1.214058,1838.488498
2061,Modoc,Ag Contraction: Cropland,419.10293874999996,Iteration and Timestep,536.654219073434,1.214058,1838.488498
2071,Modoc,Ag Contraction: Cropland,419.10293874999996,Iteration and Timestep,536.654219073434,1.214058,1838.488498
2081,Modoc,Ag Contraction: Cropland,419.10293874999996,Iteration and Timestep,536.654219073434,1.214058,1838.488498
2091,Modoc,Ag Contraction: Cropland,419.10293874999996,Iteration and Timestep,536.654219073434,1.214058,1838.488498
2017,Mono,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2021,Mono,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2031,Mono,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2041,Mono,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2051,Mono,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2061,Mono,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2071,Mono,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2081,Mono,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2091,Mono,Ag Contraction: Cropland,0,Iteration and Timestep,0,0,0
2017,Monterey,Ag Contraction: Cropland,577.3688885833334,Iteration and Timestep,309.1538404091708,160.862685,1173.5894
2021,Monterey,Ag Contraction: Cropland,577.3688885833334,Iteration and Timestep,309.1538404091708,160.862685,1173.5894
2031,Monterey,Ag Contraction: Cropland,577.3688885833334,Iteration and Timestep,309.1538404091708,160.862685,1173.5894
2041,Monterey,Ag Contraction: Cropland,577.3688885833334,Iteration and Timestep,309.1538404091708,160.862685,1173.5894
2051,Monterey,Ag Contraction: Cropland,577.3688885833334,Iteration and Timestep,309.1538404091708,160.862685,1173.5894
2061,Monterey,Ag Contraction: Cropland,577.3688885833334,Iteration and Timestep,309.1538404091708,160.862685,1173.5894
2071,Monterey,Ag Contraction: Cropland,577.3688885833334,Iteration and Timestep,309.1538404091708,160.862685,1173.5894
2081,Monterey,Ag Contraction: Cropland,577.3688885833334,Iteration and Timestep,309.1538404091708,160.862685,1173.5894
2091,Monterey,Ag Contraction: Cropland,577.3688885833334,Iteration and Timestep,309.1538404091708,160.862685,1173.5894
2017,Napa,Ag Contraction: Cropland,240.83875575,Iteration and Timestep,315.05823030582513,1.011715,1131.906742
2021,Napa,Ag Contraction: Cropland,240.83875575,Iteration and Timestep,315.05823030582513,1.011715,1131.906742
2031,Napa,Ag Contraction: Cropland,240.83875575,Iteration and Timestep,315.05823030582513,1.011715,1131.906742
2041,Napa,Ag Contraction: Cropland,240.83875575,Iteration and Timestep,315.05823030582513,1.011715,1131.906742
2051,Napa,Ag Contraction: Cropland,240.83875575,Iteration and Timestep,315.05823030582513,1.011715,1131.906742
