Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2041,Los Angeles,Urbanization,1203.5245990205062,Normal,Timestep and iteration,745.9154436658475,249.40840555497383,3202.772933157068
2051,Los Angeles,Urbanization,1369.9283217146597,Normal,Timestep and iteration,849.0484471309004,283.89252593717276,3645.6000589633504
2061,Los Angeles,Urbanization,1188.0451829559336,Normal,Timestep and iteration,736.3216759016565,246.20058040314134,3161.5797121518317
2071,Los Angeles,Urbanization,808.7994893739091,Normal,Timestep and iteration,501.27436567897786,167.60886418324606,2152.3457975235597
2081,Los Angeles,Urbanization,572.7383943891797,Normal,Timestep and iteration,354.9694072750657,118.68953061780104,1524.1491771937172
2091,Los Angeles,Urbanization,201.23240883944155,Normal,Timestep and iteration,124.71898093448256,41.70172697382199,535.5118730680629
2017,Madera,Urbanization,789.9133481666667,Normal,Timestep and iteration,490.3340987367835,177.66905652941176,1738.0668573529413
2021,Madera,Urbanization,763.1366245,Normal,Timestep and iteration,473.71260386435017,171.64637664705884,1679.1493367647058
2031,Madera,Urbanization,548.9228351666666,Normal,Timestep and iteration,340.7406448848834,123.46493758823529,1207.8091720588234
2041,Madera,Urbanization,602.4762824999999,Normal,Timestep and iteration,373.9836346297501,135.51029735294117,1325.644213235294
2051,Madera,Urbanization,401.650855,Normal,Timestep and iteration,249.32242308650007,90.34019823529412,883.7628088235293
2061,Madera,Urbanization,361.4857695,Normal,Timestep and iteration,224.39018077785008,81.30617841176472,795.3865279411765
2071,Madera,Urbanization,374.8741313333333,Normal,Timestep and iteration,232.70092821406672,84.31751835294118,824.8452882352941
2081,Madera,Urbanization,254.37887483333333,Normal,Timestep and iteration,157.90420128811672,57.21545888235294,559.7164455882353
2091,Madera,Urbanization,93.71853283333333,Normal,Timestep and iteration,58.17523205351668,21.079379588235295,206.21132205882353
2017,Marin,Urbanization,37.93842503070175,Normal,Timestep and iteration,62.59328835563107,6.709267894736842,234.37709178947367
2021,Marin,Urbanization,59.61752504824562,Normal,Timestep and iteration,98.36088170170596,10.543135263157895,368.3068585263158
2031,Marin,Urbanization,70.45707505701755,Normal,Timestep and iteration,116.24467837474342,12.460068947368422,435.27174189473686
2041,Marin,Urbanization,59.61752504824562,Normal,Timestep and iteration,98.36088170170596,10.543135263157895,368.3068585263158
2051,Marin,Urbanization,48.77797503947369,Normal,Timestep and iteration,80.47708502866853,8.626201578947368,301.34197515789475
2061,Marin,Urbanization,54.19775004385964,Normal,Timestep and iteration,89.41898336518723,9.584668421052632,334.8244168421052
2071,Marin,Urbanization,27.09887502192982,Normal,Timestep and iteration,44.709491682593615,4.792334210526316,167.4122084210526
2081,Marin,Urbanization,27.09887502192982,Normal,Timestep and iteration,44.709491682593615,4.792334210526316,167.4122084210526
2091,Marin,Urbanization,0,Normal,Timestep and iteration,0,0,0
2017,Mariposa,Urbanization,0,Normal,Timestep and iteration,0,0,0
2021,Mariposa,Urbanization,0,Normal,Timestep and iteration,0,0,0
2031,Mariposa,Urbanization,0,Normal,Timestep and iteration,0,0,0
2041,Mariposa,Urbanization,0,Normal,Timestep and iteration,0,0,0
2051,Mariposa,Urbanization,0,Normal,Timestep and iteration,0,0,0
2061,Mariposa,Urbanization,0,Normal,Timestep and iteration,0,0,0
2071,Mariposa,Urbanization,0,Normal,Timestep and iteration,0,0,0
2081,Mariposa,Urbanization,0,Normal,Timestep and iteration,0,0,0
2091,Mariposa,Urbanization,0,Normal,Timestep and iteration,0,0,0
2017,Mendocino,Urbanization,2.3085496818181817,Normal,Timestep and iteration,2.0913460257582006,0,5.040180181818181
2021,Mendocino,Urbanization,2.3085496818181817,Normal,Timestep and iteration,2.0913460257582006,0,5.040180181818181
2031,Mendocino,Urbanization,0,Normal,Timestep and iteration,0,0,0
2041,Mendocino,Urbanization,4.617099363636363,Normal,Timestep and iteration,4.182692051516401,0,10.080360363636363
2051,Mendocino,Urbanization,9.234198727272727,Normal,Timestep and iteration,8.365384103032802,0,20.160720727272725
2061,Mendocino,Urbanization,2.3085496818181817,Normal,Timestep and iteration,2.0913460257582006,0,5.040180181818181
2071,Mendocino,Urbanization,0,Normal,Timestep and iteration,0,0,0
2081,Mendocino,Urbanization,2.3085496818181817,Normal,Timestep and iteration,2.0913460257582006,0,5.040180181818181
2091,Mendocino,Urbanization,0,Normal,Timestep and iteration,0,0,0
2017,Merced,Urbanization,433.5691661794871,Normal,Timestep and iteration,210.95146261675274,149.6404309230769,733.4778101538461
2021,Merced,Urbanization,344.8845640064102,Normal,Timestep and iteration,167.8022998087806,119.03216096153845,583.448258076923
2031,Merced,Urbanization,266.05380651923076,Normal,Timestep and iteration,129.44748842391647,91.82480988461539,450.08865623076923
2041,Merced,Urbanization,226.63842777564096,Normal,Timestep and iteration,110.27008273148438,78.22113434615383,383.40885530769225
2051,Merced,Urbanization,374.4460980641025,Normal,Timestep and iteration,182.18535407810464,129.2349176153846,633.4581087692308
2061,Merced,Urbanization,236.49227246153842,Normal,Timestep and iteration,115.0644341545924,81.62205323076923,400.0788055384615
2071,Merced,Urbanization,157.66151497435897,Normal,Timestep and iteration,76.70962276972827,54.41470215384616,266.7192036923077
2081,Merced,Urbanization,108.39229154487178,Normal,Timestep and iteration,52.737865654188184,37.41010773076923,183.36945253846153
2091,Merced,Urbanization,68.97691280128204,Normal,Timestep and iteration,33.560459961756116,23.80643219230769,116.6896516153846
2017,Modoc,Urbanization,0,Normal,Timestep and iteration,0,0,0
2021,Modoc,Urbanization,0,Normal,Timestep and iteration,0,0,0
2031,Modoc,Urbanization,0,Normal,Timestep and iteration,0,0,0
2041,Modoc,Urbanization,0,Normal,Timestep and iteration,0,0,0
2051,Modoc,Urbanization,0,Normal,Timestep and iteration,0,0,0
2061,Modoc,Urbanization,0,Normal,Timestep and iteration,0,0,0
2071,Modoc,Urbanization,0,Normal,Timestep and iteration,0,0,0
2081,Modoc,Urbanization,0,Normal,Timestep and iteration,0,0,0
2091,Modoc,Urbanization,0,Normal,Timestep and iteration,0,0,0
2017,Mono,Urbanization,0,Normal,Timestep and iteration,0,0,0
2021,Mono,Urbanization,0,Normal,Timestep and iteration,0,0,0
2031,Mono,Urbanization,0,Normal,Timestep and iteration,0,0,0
2041,Mono,Urbanization,0,Normal,Timestep and iteration,0,0,0
2051,Mono,Urbanization,0,Normal,Timestep and iteration,0,0,0
2061,Mono,Urbanization,0,Normal,Timestep and iteration,0,0,0
2071,Mono,Urbanization,0,Normal,Timestep and iteration,0,0,0
2081,Mono,Urbanization,0,Normal,Timestep and iteration,0,0,0
2091,Mono,Urbanization,0,Normal,Timestep and iteration,0,0,0
2017,Monterey,Urbanization,479.7376579565218,Normal,Timestep and iteration,450.41687385649226,64.9257104347826,1414.1136443478263
2021,Monterey,Urbanization,346.47719741304354,Normal,Timestep and iteration,325.3010755630222,46.89079086956522,1021.3042986956523
2031,Monterey,Urbanization,479.7376579565218,Normal,Timestep and iteration,450.41687385649226,64.9257104347826,1414.1136443478263
2041,Monterey,Urbanization,279.8469671413044,Normal,Timestep and iteration,262.74317641628716,37.87333108695652,824.8996258695653
2051,Monterey,Urbanization,213.21673686956527,Normal,Timestep and iteration,200.18527726955213,28.85587130434783,628.4949530434784
2061,Monterey,Urbanization,239.8688289782609,Normal,Timestep and iteration,225.20843692824613,32.4628552173913,707.0568221739131
2071,Monterey,Urbanization,106.60836843478263,Normal,Timestep and iteration,100.09263863477607,14.427935652173915,314.2474765217392
2081,Monterey,Urbanization,13.32604605434783,Normal,Timestep and iteration,12.511579829347008,1.8034919565217393,39.2809345652174
2091,Monterey,Urbanization,0,Normal,Timestep and iteration,0,0,0
2017,Napa,Urbanization,475.3973843148148,Normal,Timestep and iteration,470.0527143068581,69.56102688888889,1823.8748368888887
2021,Napa,Urbanization,475.3973843148148,Normal,Timestep and iteration,470.0527143068581,69.56102688888889,1823.8748368888887
2031,Napa,Urbanization,433.45055628703705,Normal,Timestep and iteration,428.57747480919414,63.42328922222222,1662.9447042222223
2041,Napa,Urbanization,405.4860042685185,Normal,Timestep and iteration,400.9273151440848,59.3314641111111,1555.6579491111108
2051,Napa,Urbanization,237.6986921574074,Normal,Timestep and iteration,235.02635715342905,34.780513444444445,911.9374184444443
2061,Napa,Urbanization,265.6632441759259,Normal,Timestep and iteration,262.67651681853835,38.87233855555555,1019.2241735555556
2071,Napa,Urbanization,251.68096816666667,Normal,Timestep and iteration,248.8514369859837,36.826426,965.580796
2081,Napa,Urbanization,167.7873121111111,Normal,Timestep and iteration,165.9009579906558,24.550950666666665,643.7205306666666
2091,Napa,Urbanization,69.9113800462963,Normal,Timestep and iteration,69.12539916277325,10.229562777777778,268.2168877777778
2017,Nevada,Urbanization,11.019911076923076,Normal,Timestep and iteration,16.759994754124357,0.45527175,57.060725999999995
2021,Nevada,Urbanization,0,Normal,Timestep and iteration,0,0,0
2031,Nevada,Urbanization,0,Normal,Timestep and iteration,0,0,0
2041,Nevada,Urbanization,0,Normal,Timestep and iteration,0,0,0
2051,Nevada,Urbanization,0,Normal,Timestep and iteration,0,0,0
2061,Nevada,Urbanization,0,Normal,Timestep and iteration,0,0,0
2071,Nevada,Urbanization,0,Normal,Timestep and iteration,0,0,0
2081,Nevada,Urbanization,0,Normal,Timestep and iteration,0,0,0
2091,Nevada,Urbanization,0,Normal,Timestep and iteration,0,0,0
2017,Orange,Urbanization,1752.5977857115383,Normal,Timestep and iteration,1399.0831591909753,380.7005720769231,5138.733957692308
2021,Orange,Urbanization,1300.3144861730766,Normal,Timestep and iteration,1038.0294406900782,282.4552631538461,3812.6090653846145
2031,Orange,Urbanization,1045.9051301826923,Normal,Timestep and iteration,834.9367240333239,227.1922768846154,3066.663813461538
2041,Orange,Urbanization,904.566599076923,Normal,Timestep and iteration,722.1074370017938,196.49061784615387,2652.2497846153847
2051,Orange,Urbanization,706.692655528846,Normal,Timestep and iteration,564.1464351576512,153.50829519230768,2072.070144230769
2061,Orange,Urbanization,565.3541244230769,Normal,Timestep and iteration,451.317148126121,122.80663615384614,1657.656115384615
2071,Orange,Urbanization,226.14164976923075,Normal,Timestep and iteration,180.52685925044844,49.12265446153847,663.0624461538462
2081,Orange,Urbanization,367.480180875,Normal,Timestep and iteration,293.3561462819787,79.8243135,1077.476475
2091,Orange,Urbanization,113.07082488461538,Normal,Timestep and iteration,90.26342962522422,24.561327230769233,331.5312230769231
2017,Placer,Urbanization,341.84930109090914,Normal,Timestep and iteration,242.84073872460195,92.41556654545457,762.0458117818183
