SecondaryStratumID,Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
Lassen,2041,Management: Forest Clearcut [Type],6559.43584488431,Normal,Iteration and Timestep,5100.995087236169
Lassen,2051,Management: Forest Clearcut [Type],6235.424195027237,Normal,Iteration and Timestep,4849.024967669069
Lassen,2061,Management: Forest Clearcut [Type],5484.197184617874,Normal,Iteration and Timestep,4264.827579339424
Lassen,2071,Management: Forest Clearcut [Type],4658.567499056146,Normal,Iteration and Timestep,3622.770385775852
Lassen,2081,Management: Forest Clearcut [Type],4291.354295884796,Normal,Iteration and Timestep,3337.2042502664726
Lassen,2091,Management: Forest Clearcut [Type],3415.322798123079,Normal,Iteration and Timestep,2655.951704770241
Los Angeles,2017,Management: Forest Clearcut [Type],519.2096794491488,Normal,Iteration and Timestep,570.5924426001892
Los Angeles,2021,Management: Forest Clearcut [Type],692.6631069881165,Normal,Iteration and Timestep,761.2114137292274
Los Angeles,2031,Management: Forest Clearcut [Type],719.1269798464665,Normal,Iteration and Timestep,790.2942418285169
Los Angeles,2041,Management: Forest Clearcut [Type],786.1496143681571,Normal,Iteration and Timestep,863.9496651669346
Los Angeles,2051,Management: Forest Clearcut [Type],747.3167574564479,Normal,Iteration and Timestep,821.2737761081947
Los Angeles,2061,Management: Forest Clearcut [Type],657.2820595796703,Normal,Iteration and Timestep,722.3289370312643
Los Angeles,2071,Management: Forest Clearcut [Type],558.3301871527965,Normal,Iteration and Timestep,613.5844493556605
Los Angeles,2081,Management: Forest Clearcut [Type],514.3196159861928,Normal,Iteration and Timestep,565.2184417557553
Los Angeles,2091,Management: Forest Clearcut [Type],409.32707692860873,Normal,Iteration and Timestep,449.8354824487918
Madera,2017,Management: Forest Clearcut [Type],519.2096794491488,Normal,Iteration and Timestep,350.2119265959293
Madera,2021,Management: Forest Clearcut [Type],692.6631069881165,Normal,Iteration and Timestep,467.2079330986137
Madera,2031,Management: Forest Clearcut [Type],719.1269798464665,Normal,Iteration and Timestep,485.05807007746444
Madera,2041,Management: Forest Clearcut [Type],786.1496143681571,Normal,Iteration and Timestep,530.265482208684
Madera,2051,Management: Forest Clearcut [Type],747.3167574564479,Normal,Iteration and Timestep,504.072346424501
Madera,2061,Management: Forest Clearcut [Type],657.2820595796703,Normal,Iteration and Timestep,443.34307605080244
Madera,2071,Management: Forest Clearcut [Type],558.3301871527965,Normal,Iteration and Timestep,376.59908560814335
Madera,2081,Management: Forest Clearcut [Type],514.3196159861928,Normal,Iteration and Timestep,346.91353171940256
Madera,2091,Management: Forest Clearcut [Type],409.32707692860873,Normal,Iteration and Timestep,276.09505348809273
Marin,2017,Management: Forest Clearcut [Type],5.408434160928633,Normal,Iteration and Timestep,22.94604282476167
Marin,2021,Management: Forest Clearcut [Type],7.215240697792879,Normal,Iteration and Timestep,30.611673751815008
Marin,2031,Management: Forest Clearcut [Type],7.490906040067359,Normal,Iteration and Timestep,31.78122274897738
Marin,2041,Management: Forest Clearcut [Type],8.189058483001636,Normal,Iteration and Timestep,34.74323270918207
Marin,2051,Management: Forest Clearcut [Type],7.784549556837999,Normal,Iteration and Timestep,33.02704668073729
Marin,2061,Management: Forest Clearcut [Type],6.8466881206215655,Normal,Iteration and Timestep,29.048037592565322
Marin,2071,Management: Forest Clearcut [Type],5.8159394495082966,Normal,Iteration and Timestep,24.674941342306035
Marin,2081,Management: Forest Clearcut [Type],5.357495999856175,Normal,Iteration and Timestep,22.72993051006862
Marin,2091,Management: Forest Clearcut [Type],4.263823718006341,Normal,Iteration and Timestep,18.089871988717924
Mariposa,2017,Management: Forest Clearcut [Type],465.1253378398624,Normal,Iteration and Timestep,380.06914157797155
Mariposa,2021,Management: Forest Clearcut [Type],620.5107000101876,Normal,Iteration and Timestep,507.0396082657925
Mariposa,2031,Management: Forest Clearcut [Type],644.2179194457929,Normal,Iteration and Timestep,526.4115534320936
Mariposa,2041,Management: Forest Clearcut [Type],704.2590295381407,Normal,Iteration and Timestep,575.4731102119646
Mariposa,2051,Management: Forest Clearcut [Type],669.4712618880679,Normal,Iteration and Timestep,547.0468863266316
Mariposa,2061,Management: Forest Clearcut [Type],588.8151783734546,Normal,Iteration and Timestep,481.14015983693344
Mariposa,2071,Management: Forest Clearcut [Type],500.17079265771355,Normal,Iteration and Timestep,408.7059300846774
Mariposa,2081,Management: Forest Clearcut [Type],460.744655987631,Normal,Iteration and Timestep,376.4895430146333
Mariposa,2091,Management: Forest Clearcut [Type],366.6888397485453,Normal,Iteration and Timestep,299.6334562135477
Mendocino,2017,Management: Forest Clearcut [Type],2590.6399630848155,Normal,Iteration and Timestep,1534.2389088612108
Mendocino,2021,Management: Forest Clearcut [Type],3456.1002942427895,Normal,Iteration and Timestep,2046.7852036220474
Mendocino,2031,Management: Forest Clearcut [Type],3588.143993192265,Normal,Iteration and Timestep,2124.9846383119266
Mendocino,2041,Management: Forest Clearcut [Type],3922.559013357784,Normal,Iteration and Timestep,2323.0332066025976
Mendocino,2051,Management: Forest Clearcut [Type],3728.799237725402,Normal,Iteration and Timestep,2208.284036133754
Mendocino,2061,Management: Forest Clearcut [Type],3279.56360977773,Normal,Iteration and Timestep,1942.2359594171005
Mendocino,2071,Management: Forest Clearcut [Type],2785.834996314474,Normal,Iteration and Timestep,1649.8380731853795
Mendocino,2081,Management: Forest Clearcut [Type],2566.2405839311077,Normal,Iteration and Timestep,1519.7890133206897
Mendocino,2091,Management: Forest Clearcut [Type],2042.3715609250373,Normal,Iteration and Timestep,1209.5412561271485
Merced,2017,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Merced,2021,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Merced,2031,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Merced,2041,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Merced,2051,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Merced,2061,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Merced,2071,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Merced,2081,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
Merced,2091,Management: Forest Clearcut [Type],0,Normal,Iteration and Timestep,0
