Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2021,Mendocino,Ag Expansion,70.30499509090909,Normal,Iteration and Timestep,62.289233980011865,0,153.63352145454544
2031,Mendocino,Ag Expansion,124.98665793939394,Normal,Iteration and Timestep,110.73641596446555,0,273.1262603636364
2041,Mendocino,Ag Expansion,148.4216563030303,Normal,Iteration and Timestep,131.49949395780283,0,324.33743418181814
2051,Mendocino,Ag Expansion,109.36332569696967,Normal,Iteration and Timestep,96.89436396890734,0,238.98547781818178
2061,Mendocino,Ag Expansion,210.91498527272725,Normal,Iteration and Timestep,186.86770194003563,0,460.90056436363636
2071,Mendocino,Ag Expansion,195.291653030303,Normal,Iteration and Timestep,173.0256499444774,0,426.75978181818175
2081,Mendocino,Ag Expansion,210.91498527272725,Normal,Iteration and Timestep,186.86770194003563,0,460.90056436363636
2091,Mendocino,Ag Expansion,164.04498854545452,Normal,Iteration and Timestep,145.34154595336102,0,358.4782167272727
2017,Merced,Ag Expansion,764.4460171826922,Normal,Iteration and Timestep,363.0084782216046,244.86615969230766,1623.1332866153841
2021,Merced,Ag Expansion,1063.5770673846155,Normal,Iteration and Timestep,505.05527404745,340.68335261538465,2258.2723987692307
2031,Merced,Ag Expansion,1262.9977675192308,Normal,Iteration and Timestep,599.7531379313468,404.56148123076923,2681.6984735384613
2041,Merced,Ag Expansion,1030.340284028846,Normal,Iteration and Timestep,489.27229673346716,330.03699784615384,2187.7013863076922
2051,Merced,Ag Expansion,1628.6023844326924,Normal,Iteration and Timestep,773.3658883851577,521.6713836923077,3457.9796106153844
2061,Merced,Ag Expansion,1229.7609841634617,Normal,Iteration and Timestep,583.9701606173641,393.9151264615385,2611.127461076923
2071,Merced,Ag Expansion,1296.234550875,Normal,Iteration and Timestep,615.5361152453296,415.20783600000004,2752.2694859999997
2081,Merced,Ag Expansion,697.9724504711538,Normal,Iteration and Timestep,331.442523593639,223.57345015384615,1481.9912616923077
2091,Merced,Ag Expansion,1063.5770673846155,Normal,Iteration and Timestep,505.05527404745,340.68335261538465,2258.2723987692307
2017,Modoc,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
