SecondaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionTypeID,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionMin,ValueDistributionMax
Mendocino,Intensification: Open to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Mendocino,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Mendocino,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Mendocino,Intensification: Low to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Mendocino,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Merced,Intensification: Open to Low,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Merced,Intensification: Open to Medium,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Merced,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Merced,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Merced,Intensification: Low to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Merced,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Modoc,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Modoc,Intensification: Open to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Modoc,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Modoc,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Modoc,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Modoc,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Mono,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Mono,Intensification: Open to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Mono,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Mono,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Mono,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Mono,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Monterey,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Monterey,Intensification: Open to Medium,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Monterey,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Monterey,Intensification: Low to Medium,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Monterey,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
