StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD
Sonoran Basin and Range,Insect: Medium Severity,Insect,2011,2011,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Medium Severity,Insect,2012,2012,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Medium Severity,Insect,2013,2013,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Medium Severity,Insect,2014,2014,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Medium Severity,Insect,2015,2015,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Medium Severity,Insect,2016,2016,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Medium Severity,Insect,1998,1998,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Medium Severity,Insect,1999,1999,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Medium Severity,Insect,2000,2000,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Medium Severity,Insect,2001,2001,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Medium Severity,Insect,2002,2002,1100,Iteration and Timestep,550
Southern California/Northern Baja Coast,Insect: Medium Severity,Insect,2003,2003,300,Iteration and Timestep,150
Southern California/Northern Baja Coast,Insect: Medium Severity,Insect,2004,2004,100,Iteration and Timestep,50
Southern California/Northern Baja Coast,Insect: Medium Severity,Insect,2005,2005,200,Iteration and Timestep,100
Southern California/Northern Baja Coast,Insect: Medium Severity,Insect,2006,2006,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Medium Severity,Insect,2007,2007,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Medium Severity,Insect,2008,2008,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Medium Severity,Insect,2009,2009,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Medium Severity,Insect,2010,2010,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Medium Severity,Insect,2011,2011,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Medium Severity,Insect,2012,2012,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Medium Severity,Insect,2013,2013,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Medium Severity,Insect,2014,2014,200,Iteration and Timestep,100
Southern California/Northern Baja Coast,Insect: Medium Severity,Insect,2015,2015,400,Iteration and Timestep,200
Southern California/Northern Baja Coast,Insect: Medium Severity,Insect,2016,2016,0,Iteration and Timestep,0
